Participant,TimeOfDay,TimeSinceStartOfExperiment,JumpNoJump,LeaningGamepad,Interface,TrialNo,PathID,LocationALongPath,TotalPointing,PointingCounterFromLocation,Trivial,TargetID,Controller Position X,Controller Position Y,Controller Position Z,Target Position X,Target Position Y,Target Position Z,Target Yaw,Target Pitch, Pointing Yaw, Pointing Pitch,Signed Pointing Error Yaw, Signed Pointing Error Pitch,Absolute Pointing Error Yaw, Absolute Pointing Error Pitch,Pointing Time,Correct distance in 3D,Distance Estimate,Signed Distance Estimate Error,Absolute Distance Estimate Error
P01,2021-03-10 7:02:48 PM,16.52777,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6447,10.75943,24.53897,-7.804039,6.22,-15.4706,350.2499,-1.10076,92.55363,-5.724804,102.3037,4.624043,102.3037,4.624043,0.1531447,236.2967,0.03999911,236.2567,236.2567
P01,2021-03-10 7:02:48 PM,16.54193,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.645,10.75898,24.5387,-7.804039,6.22,-15.4706,350.25,-1.100651,92.60795,-5.795971,102.3579,4.69532,102.3579,4.69532,0.1736054,236.2969,0.03999975,236.2569,236.2569
P01,2021-03-10 7:02:48 PM,16.5624,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6452,10.75897,24.53843,-7.804039,6.22,-15.4706,350.2501,-1.100647,92.68833,-5.758978,102.4382,4.658331,102.4382,4.658331,0.1838832,236.2971,0.03999996,236.2572,236.2572
P01,2021-03-10 7:02:48 PM,16.57267,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6456,10.75914,24.53826,-7.804039,6.22,-15.4706,350.2502,-1.100688,92.80766,-5.605541,102.5575,4.504853,102.5575,4.504853,0.1946093,236.2975,0.0399987,236.2575,236.2575
P01,2021-03-10 7:02:48 PM,16.5834,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6459,10.75914,24.53804,-7.804039,6.22,-15.4706,350.2502,-1.100686,92.84867,-5.570929,102.5984,4.470243,102.5984,4.470243,0.2087367,236.2977,0.03999787,236.2577,236.2577
P01,2021-03-10 7:02:48 PM,16.59753,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6461,10.75899,24.53776,-7.804039,6.22,-15.4706,350.2503,-1.100647,92.86113,-5.597979,102.6108,4.497332,102.6108,4.497332,0.2219727,236.2979,0.03999859,236.2579,236.2579
P01,2021-03-10 7:02:48 PM,16.61076,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6464,10.75871,24.53753,-7.804039,6.22,-15.4706,350.2504,-1.100578,92.89326,-5.685071,102.6429,4.584493,102.6429,4.584493,0.236443,236.2981,0.03999766,236.2581,236.2581
P01,2021-03-10 7:02:48 PM,16.62523,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6468,10.75838,24.53732,-7.804039,6.22,-15.4706,350.2504,-1.100498,92.98215,-5.818634,102.7317,4.718136,102.7317,4.718136,0.250301,236.2985,0.03999676,236.2585,236.2585
P01,2021-03-10 7:02:48 PM,16.63909,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6472,10.75815,24.53715,-7.804039,6.22,-15.4706,350.2505,-1.100441,93.14212,-5.884884,102.8916,4.784443,102.8916,4.784443,0.2645251,236.2989,0.0399957,236.2589,236.2589
P01,2021-03-10 7:02:48 PM,16.65332,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6474,10.75813,24.53687,-7.804039,6.22,-15.4706,350.2505,-1.100434,93.14799,-5.836976,102.8975,4.736542,102.8975,4.736542,0.2785195,236.2991,0.03999608,236.2591,236.2591
